client_id,company_name,client_tier,industry,employee_count,contract_start_date,months_as_client,monthly_revenue,annual_contract_value,customer_acquisition_cost,lifetime_value,ltv_cac_ratio,months_to_payback,support_tickets,churn_risk_score,has_churned,last_login_days_ago,feature_usage_score,satisfaction_score,segment,segment_name,annual_revenue,revenue_category,risk_category,tenure_category
CLIENT_0001,Figueroa and Sons,Enterprise,Finance,6191,2024-06-17,13,12248.83,146985.93,5773.15,2672471.47,462.91,0.5,1,0.055,False,74,0.88,4,2,Potential,146985.96,Enterprise,Low Risk,Mature
CLIENT_0002,"Garcia, Yang and Gardner",Mid-Market,Finance,376,2023-03-19,28,2419.12,29029.46,1579.86,201593.49,127.6,0.7,2,0.144,True,88,0.46,3,1,At Risk,29029.44,High,Low Risk,Veteran
CLIENT_0003,Johnson and Sons,Mid-Market,Technology,230,2024-04-24,15,5559.49,66713.86,2315.39,463290.67,200.09,0.4,2,0.144,True,89,0.61,10,1,At Risk,66713.88,Enterprise,Low Risk,Mature
CLIENT_0004,"Johnson, Gonzalez and Santos",Enterprise,E-commerce,1775,2023-03-29,28,18895.96,226751.56,3348.35,4535031.16,1354.41,0.2,0,0.05,False,49,0.7,2,2,Potential,226751.52,Enterprise,Low Risk,Veteran
CLIENT_0005,Cole LLC,Mid-Market,E-commerce,921,2024-03-05,16,5778.31,69339.76,2954.91,577831.3,195.55,0.5,0,0.12,False,33,0.46,4,1,At Risk,69339.72,Enterprise,Low Risk,Mature
CLIENT_0006,Blake and Sons,Mid-Market,Real Estate,561,2024-12-20,7,2092.81,25113.76,2950.9,209281.34,70.92,1.4,0,0.12,True,111,0.59,8,1,At Risk,25113.72,High,Low Risk,Growing
CLIENT_0007,Ramirez-Lewis,Mid-Market,Technology,592,2024-08-20,11,3096.42,37157.0,2335.28,309641.65,132.59,0.8,0,0.12,False,88,0.99,8,1,At Risk,37157.04,High,Low Risk,Growing
CLIENT_0008,Davis Inc,Enterprise,Marketing,6892,2024-10-31,8,17910.61,214927.37,6331.62,3070390.97,484.93,0.4,4,0.07,False,22,0.7,5,2,Potential,214927.32,Enterprise,Low Risk,Growing
CLIENT_0009,Munoz-Roman,Enterprise,Marketing,6056,2023-08-15,23,7129.22,85550.68,5956.93,1425844.71,239.36,0.8,2,0.06,False,13,0.54,9,1,At Risk,85550.64,Enterprise,Low Risk,Mature
CLIENT_0010,"Martinez, Nielsen and Miller",Enterprise,Technology,2484,2024-09-24,9,13006.81,156081.7,4908.7,3121633.93,635.94,0.4,0,0.05,False,51,0.61,4,2,Potential,156081.72,Enterprise,Low Risk,Growing
CLIENT_0011,"Montgomery, Hensley and Ray",Mid-Market,Finance,754,2023-06-04,25,3297.65,39571.81,1177.51,299786.4,254.59,0.4,1,0.132,True,115,0.89,10,1,At Risk,39571.8,High,Low Risk,Veteran
CLIENT_0012,Stanley LLC,Enterprise,Technology,4627,2024-08-27,10,11948.39,143380.68,4525.75,2389677.98,528.02,0.4,2,0.06,False,61,0.2,9,2,Potential,143380.68,Enterprise,Low Risk,Growing
CLIENT_0013,Delacruz Group,Enterprise,Finance,6864,2025-06-30,0,21368.67,256424.02,4562.07,5128480.34,1124.16,0.2,0,0.05,False,8,0.54,1,2,Potential,256424.03999999998,Enterprise,Low Risk,
CLIENT_0014,"Flowers, Martin and Kelly",Enterprise,Technology,8994,2023-05-18,26,10465.06,125580.77,3773.97,2511615.33,665.51,0.4,0,0.05,False,51,0.43,1,2,Potential,125580.72,Enterprise,Low Risk,Veteran
CLIENT_0015,"Zuniga, Wong and Lynch",Mid-Market,E-commerce,724,2024-07-20,12,1081.23,12974.75,1978.79,98293.53,49.67,1.8,1,0.132,False,53,0.13,1,1,At Risk,12974.76,High,Low Risk,Growing
CLIENT_0016,"Sanchez, Ford and Nelson",Enterprise,Marketing,2707,2023-01-21,30,12126.45,145517.45,4367.75,2645771.77,605.75,0.4,1,0.055,False,74,0.43,1,2,Potential,145517.40000000002,Enterprise,Low Risk,Veteran
CLIENT_0017,"Hawkins, Cohen and Cameron",Enterprise,Technology,8777,2025-04-26,2,14313.54,171762.54,7101.98,3122955.27,439.73,0.5,1,0.055,False,72,0.39,6,2,Potential,171762.48,Enterprise,Low Risk,New
CLIENT_0018,Underwood LLC,Mid-Market,Technology,502,2024-11-13,8,3099.65,37195.82,1597.22,258304.28,161.72,0.5,2,0.144,True,157,0.57,8,1,At Risk,37195.8,High,Low Risk,Growing
CLIENT_0019,Clark PLC,Enterprise,Healthcare,6534,2023-09-30,21,20846.04,250152.46,6309.98,4548226.52,720.8,0.3,1,0.055,False,59,0.33,1,2,Potential,250152.48,Enterprise,Low Risk,Mature
CLIENT_0020,Lewis-Porter,Mid-Market,Real Estate,259,2025-03-03,4,3062.82,36753.9,2401.28,278438.6,115.95,0.8,1,0.132,False,79,0.91,8,1,At Risk,36753.840000000004,High,Low Risk,New
CLIENT_0021,"Ellis, Baker and Wright",Mid-Market,Technology,686,2025-03-12,4,3617.64,43411.69,2973.66,278280.07,93.58,0.8,3,0.156,False,24,0.1,2,1,At Risk,43411.68,High,Low Risk,New
CLIENT_0022,Burgess-Patterson,Mid-Market,Manufacturing,780,2024-03-23,16,4049.35,48592.17,3060.08,404934.74,132.33,0.8,0,0.12,True,50,0.26,8,1,At Risk,48592.2,High,Low Risk,Mature
CLIENT_0023,Robinson-Bright,Mid-Market,Marketing,739,2024-04-16,15,3867.23,46406.75,2766.73,351566.32,127.07,0.7,1,0.132,False,21,0.32,6,1,At Risk,46406.76,High,Low Risk,Mature
CLIENT_0024,Campos Inc,Mid-Market,Marketing,382,2024-01-26,17,3878.67,46544.08,1808.32,352606.69,194.99,0.5,1,0.132,False,63,0.88,3,1,At Risk,46544.04,High,Low Risk,Mature
CLIENT_0025,Conner Group,Mid-Market,E-commerce,116,2023-01-01,30,3041.98,36503.76,1890.18,253498.34,134.11,0.6,2,0.144,False,36,0.94,1,1,At Risk,36503.76,High,Low Risk,Veteran
CLIENT_0026,James-Ferrell,Mid-Market,Technology,260,2024-05-01,14,2547.54,30570.45,2621.64,254753.78,97.17,1.0,0,0.12,False,53,0.73,8,1,At Risk,30570.48,High,Low Risk,Mature
CLIENT_0027,"Valencia, Smith and Le",Mid-Market,Healthcare,953,2024-02-17,17,3230.95,38771.44,1352.85,323095.37,238.83,0.4,0,0.12,False,1,0.39,8,1,At Risk,38771.399999999994,High,Low Risk,Mature
CLIENT_0028,"Potter, Mack and Peterson",Enterprise,Finance,8206,2024-08-02,11,17093.2,205118.37,3907.73,4102367.36,1049.81,0.2,0,0.05,False,49,0.88,10,2,Potential,205118.40000000002,Enterprise,Low Risk,Growing
CLIENT_0029,Chavez Ltd,Enterprise,Manufacturing,3368,2023-06-04,25,22186.78,266241.38,5010.96,5324827.59,1062.64,0.2,0,0.05,False,75,0.9,2,2,Potential,266241.36,Enterprise,Low Risk,Veteran
CLIENT_0030,Stanton-Gill,Mid-Market,Healthcare,150,2025-03-03,4,4889.55,58674.57,1459.36,444504.33,304.59,0.3,1,0.132,False,57,0.13,4,1,At Risk,58674.600000000006,High,Low Risk,New
CLIENT_0031,Harrell LLC,Mid-Market,E-commerce,543,2024-01-24,18,2528.07,30336.82,2871.16,252806.81,88.05,1.1,0,0.12,False,4,0.51,6,1,At Risk,30336.840000000004,High,Low Risk,Mature
CLIENT_0032,"Lynch, Hernandez and Farmer",Enterprise,Healthcare,7966,2025-01-24,5,13127.39,157528.71,3063.18,3150574.13,1028.53,0.2,0,0.05,False,29,0.14,8,2,Potential,157528.68,Enterprise,Low Risk,New
CLIENT_0033,"Sellers, George and Burns",Enterprise,Marketing,9932,2024-02-28,16,22964.91,275578.91,4349.09,5511578.15,1267.3,0.2,0,0.05,False,8,0.72,1,2,Potential,275578.92,Enterprise,Low Risk,Mature
CLIENT_0034,Koch-Decker,Mid-Market,Real Estate,195,2022-11-17,32,2884.53,34614.32,2665.37,240377.22,90.19,0.9,2,0.144,False,60,0.76,5,1,At Risk,34614.36,High,Low Risk,Veteran
CLIENT_0035,Allen PLC,Mid-Market,Education,185,2023-06-19,25,1816.43,21797.12,2183.18,181642.68,83.2,1.2,0,0.12,True,76,0.14,4,1,At Risk,21797.16,High,Low Risk,Veteran
CLIENT_0036,Dennis Inc,Enterprise,Education,3479,2025-05-19,2,10365.35,124384.17,4910.71,2261530.39,460.53,0.5,1,0.055,False,22,0.14,6,2,Potential,124384.20000000001,Enterprise,Low Risk,New
CLIENT_0037,"Cannon, Anderson and Alvarez",Enterprise,Real Estate,7905,2025-06-22,0,13378.02,160536.27,5786.91,2675604.55,462.35,0.4,2,0.06,False,23,0.95,2,2,Potential,160536.24,Enterprise,Low Risk,
CLIENT_0038,Rose-Obrien,Enterprise,Technology,1851,2024-03-11,16,16720.34,200644.09,6389.35,3648074.33,570.96,0.4,1,0.055,False,60,0.59,5,2,Potential,200644.08000000002,Enterprise,Low Risk,Mature
CLIENT_0039,"Campos, Vaughn and Marquez",Mid-Market,E-commerce,941,2025-06-07,1,3439.33,41271.93,1913.2,343932.71,179.77,0.6,0,0.12,False,45,0.12,3,1,At Risk,41271.96,High,Low Risk,New
CLIENT_0040,"Santos, Kim and Holmes",Mid-Market,Finance,875,2023-09-27,22,2513.57,30162.81,2166.08,228506.11,105.49,0.9,1,0.132,False,6,0.21,5,1,At Risk,30162.840000000004,High,Low Risk,Mature
CLIENT_0041,Brown Inc,Mid-Market,Real Estate,519,2022-11-27,32,3899.6,46795.2,2245.84,324966.66,144.7,0.6,2,0.144,False,63,0.62,3,1,At Risk,46795.2,High,Low Risk,Veteran
CLIENT_0042,Chapman Inc,Mid-Market,Education,195,2024-04-22,15,2632.24,31586.85,1561.82,263223.72,168.54,0.6,0,0.12,False,11,0.49,7,1,At Risk,31586.879999999997,High,Low Risk,Mature
CLIENT_0043,"Brown, Jones and Johnson",Enterprise,Technology,9787,2022-10-03,33,11865.71,142388.53,2986.99,2588882.32,866.72,0.3,1,0.055,False,11,0.96,3,2,Potential,142388.52,Enterprise,Low Risk,Veteran
CLIENT_0044,"Young, Caldwell and Lewis",Mid-Market,Finance,834,2023-07-14,24,3392.04,40704.5,1900.38,282670.16,148.74,0.6,2,0.144,False,11,0.4,5,1,At Risk,40704.479999999996,High,Low Risk,Mature
CLIENT_0045,"Johnston, Sanchez and Kennedy",Mid-Market,E-commerce,850,2022-12-09,31,4813.67,57764.0,2323.67,481366.66,207.16,0.5,0,0.12,False,16,0.19,7,1,At Risk,57764.04,High,Low Risk,Veteran
CLIENT_0046,Davis Group,Mid-Market,Finance,894,2023-10-06,21,2566.7,30800.36,2163.06,233336.05,107.87,0.8,1,0.132,True,165,0.44,1,1,At Risk,30800.399999999998,High,Low Risk,Mature
CLIENT_0047,Owens-Daniel,Mid-Market,Finance,544,2023-08-09,23,2281.56,27378.67,1829.24,207414.16,113.39,0.8,1,0.132,False,38,0.49,2,1,At Risk,27378.72,High,Low Risk,Mature
CLIENT_0048,"Garcia, Powell and Morgan",Mid-Market,Technology,555,2024-07-24,11,4590.16,55081.89,2377.31,459015.77,193.08,0.5,0,0.12,False,2,0.63,9,1,At Risk,55081.92,High,Low Risk,Growing
